问题id,问题,答案,分类
260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,"该问题的分类应该是""该公司的招股说明书""。",Text
261,内蒙古君正能源化工股份有限公司的董事会成员是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
262,报告期内，深圳市超频三科技股份有限公司制造费用占主营业务成本比例分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
263,"请帮我查询下，在20200826，申万行业分类里一级行业为综合行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
264,广发招财短债债券A基金在20190930且报告类型是季报的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
265,西安启源机电装备股份有限公司控股子公司是谁？公司持有其多少的股份？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
266,我想知道浙江浙商证券资产管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
267,确成硅化学股份有限公司的子公司无锡东沃经营范围是？,该问题的分类应该是“该公司的招股说明书”。,Text
268,我想知道2021年的中期报告中，机构投资者持有的份额占比超过15%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
269,创金合信鑫收益灵活配置混合E基金在20190930的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
270,南方基金管理股份有限公司2019年成立了多少基金?,问题：“南方基金管理股份有限公司2019年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
271,请问股票代码为002641的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
272,窦剑文先生持有兰州海默科技股份有限公司多少股权？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
273,请问股票代码为603679的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
274,帮我查询在2020年12月31日，代码为008376的基金前20大重仓股票中属于中信二级畜牧业行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
275,"请帮我查询下在2020年, 睿远基金管理有限公司管理的债券型基金中，持有过可转换债券的基金有多少只？",问题：“基金股票数据库”,SQL
276,2014年度、2015年度以及2016年度湖南国科微电子股份有限公司向前五大客户销售的金额占同期营业收入的比例分别是多少？,该问题属于招股说明书中提供的信息。,Text
277,截至2014 年12 月31 日，读者出版传媒股份有限公司共有员工多少人？,该问题的答案可能包含在招股说明书中。,Text
278,我想知道在20200331的季报里，中银证券价值精选灵活配置混合投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
279,2020年10月6日，上海真兰仪表科技股份有限公司的注册资本由多少增加到多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
280,华瑞股份发生了几次股权转让？,该问题的答案可能包含在该公司 的招股说明书中。,Text
281,请查询：在20201216，属于申万二级房屋建设行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
282,"请查询：2021年12月年报(含半年报),持有17扬城建MTN001且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
283,查询下基金代码009407的基金，它的托管人是？,基金股票数据库,SQL
284,易方达恒盛3个月定期开放混合基金在20200331的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
285,湖南长远锂科股份有限公司在高效电池正极材料领域的技术水平如何？掌握了哪些技术？,"该问题的描述类别最适合出现在""该公司的招股说明书""中。",Text
286,浙江开尔新材料股份有限公司实际控制人承诺如何处理因未执行社会保险及住房公积金制度而产生的损失或义务？,该问题的描述中没有给出任何关于其在招股说明书中还是在基金股票数据库里的线索，因此我无法回答这个问题。,Text
287,报告期内，山东海看网络科技有限公司的IPTV用户数量如何变化？截至报告期各期末 IPTV业务用户数为多少？,该问题属于招股说明书中提到的内容。,Text
288,报告期内山东海看网络科技有限公司因进行宣传和活动策划活动共产生的业务宣传费为多少？,该问题的描述中没有给出任何关于该基金股票数据库或该公司招股说明书中可能包含的答案线索，因此最好的类别是“无法确定”。,Text
289,请帮我计算，在20210719，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,该问题需要在基金股票数据库中查找答案。,SQL
290,2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动多少？,该问题应该属于招股说明书中包含的信息。,Text
291,"帮我算一下在20190408,代码为00326的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
292,报告期内，山东海看网络科技有限公司主营业务是什么？,该问题的描述不清，无法确定应该在基金的股票数据库还是公司的招股说明书中查找答案。请提供更多的上下文信息以便更好地回答您的问题。,Text
293,根据招股意向书，2015年国家下调天然气价格后，对大连派思燃气系统股份有限公司未来经营活动的影响是什么？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
294,青海互助青稞酒股份有限公司的实际控制人是谁？共有几人？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
295,20201211港股下跌的股票家数有多少家?,基金股票数据库,SQL
296,帮我查一下诺德短债债券C基金在20200331的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
297,广发聚荣一年持有期混合C基金在20211231的季报里，前三大持仓占比的债券名称是什么?,基金股票数据库,SQL
298,请问2019年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少？”
回答：“基金股票数据库”",SQL
299,"我想了解平安估值精选混合C基金,在2020年三季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
300,我想知道在20211231的季报里，中信保诚红利精选混合C投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
301,2021年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2021年内最高日收盘价是多少?”,SQL
302,广州中海达卫星导航技术股份有限公司的国内营销网络有多少个办事处和几家分公司？多少营销服务人员？,该问题的描述中没有给出任何关于该基金股票数据库的信息，因此答案应该在该公司的招股说明书中。,Text
303,根据东莞勤上光电股份有限公司招股意向书，全球率先整体用LED路灯替换传统路灯的案例是？,该问题的描述中并没有提到任何具体的公司名称，因此无法确定这是属于哪家公司的招股说明书中提到的信息。同时，这个问题也没有涉及到任何基金或者股票相关的概念，因此可以判断这是一个不属于基金股票数据库中的信息。综上所述，这个问题是属于招股说明书中可能包含的内容。,Text
304,中国铁路通信信号股份有限公司本次发行前总股本为多少？本次发行后本公司总股本为多少？,该问题的答案可以在该公司的招股说明书中找到。,Text
305,什么公司、在何时与浙江双飞无油轴承股份有限公司发生了产品争议事项？产品争议事项是否已经解决？,回答：“该公司的招股说明书”,Text
306,深圳信立泰药业股份有限公司本次募集资金项目拟投资总额为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
307,在2021年12月年报(含半年报)中，宝盈龙头优选股票A基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,回答：“基金股票数据库”,SQL
308,请查询在20200623日期，中信行业分类下汽车一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,回答：“基金股票数据库”,SQL
309,我想知道海富通基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
310,在2020年12月30日，使用中信行业分类标准，股票代码002319是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
311,请问在休闲服务行业，20190119行业的A股公司有多少?,该问题需要在基金股票数据库中查找答案。,SQL
312,森赫电梯股份有限公司获得多少项国内专利？其中有多上项发明专利？,"该问题的分类应该是 ""该公司的招股说明书""。",Text
313,股票688200在20200227日期中的收盘价是多少?（小数点保留3位）,回答：“基金股票数据库”,SQL
314,江苏爱康太阳能科技股份有限公司注册资本是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
315,2020年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年三季度的净赎回情况，包括净赎回的基金数量和总份额，并将结果四舍五入到小数点后两位。”
回答：“基金股票数据库”",SQL
316,常熟风范电力设备股份有限公司在报告期内的资产总额及逐年变化趋势如何？,该问题的描述中没有给出具体的答案来源，因此无法确定它是在该公司的招股说明书中还是在基金股票数据库里。,Text
317,在2019年12月季报中，持有中国移动这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
318,新疆浩源天然气股份有限公司的主要业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
319,帮我查一下南方景气驱动混合A基金在20211213的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
320,大连派思燃气系统股份有限公司在何时获得美国GE公司的合格供应商认证？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，大连派思燃气系统股份有限公司在招股说明书中应该包含关于获得美国GE公司合格供应商认证的信息。",Text
321,2020年中期报告里，国泰基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"问题：“国泰基金管理有限公司2020年中期报告中，机构投资者持有份额比个人投资者多的基金的个数是多少？”
回答：“该公司的招股说明书”",Text
322,青海互助青稞酒股份有限公司报告期内面临的最重要风险因素是什么？,该问题的描述类别最适合出现在青海互助青稞酒股份有限公司的招股说明书中。,Text
323,我想知道申万菱信量化对冲策略灵活配置混合基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
324,截至2016年6月30日，华达汽车科技股份有限公司及子公司共有技术研发人员多少人？技术研发人占员工总人数的多大比例？,该问题应该属于该公司的招股说明书中。,Text
325,"请帮我查询下在2021年, 嘉实基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有多少只？",问题：“基金股票数据库”,SQL
326,我想知道海富通安益对冲策略灵活配置混合C基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
327,我想知道国泰民福策略价值灵活配置混合A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
328,2007年度、2008年度、2009年度，杭州中恒电气股份有限公司的加权平均净资产收益率分别是多少？,该问题的答案应该在基金的股票数据库中。,Text
329,请问在钢铁行业，20190223行业的A股公司有多少?,该问题最好被描述为“基金股票数据库”类别，因为答案可以在股票行情软件或数据库中找到，而不是在某个公司的招股说明书中。,SQL
330,"请帮我查询在2019年,北信瑞丰基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
331,20210407日，请给出申万菱信安泰瑞利中短债债券C基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
332,森赫电梯股份有限公司产品的材料成本占整梯生产成本的多大比例？,该问题的描述中没有给出任何关于该基金股票数据库的信息，因此答案应该在该公司的招股说明书中。,Text
333,2007年、2008年、2009年、2010年1-6月，南京中电联环保股份有限公司收到的增值税返还分别为多少？,这个问题应该属于基金的股票数据库中。,Text
334,确成硅化学股份有限公司生产的沉淀法二氧化硅广泛应用于哪些行业？其中对哪个行业的依赖度大？,该问题的描述不清，无法确定是在该公司的招股说明书中还是在基金股票数据库里。,Text
335,我想知道股票688266在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
336,截至2009年12月31日，杭州中恒电气股份有限公司具有大、中专以上学历员工占员工总数的比例是多少？,该问题的答案可能包含在基金的股票数据库中。,Text
337,我想知道银华科技创新混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
338,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,房地产一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
339,"我想了解长信沪深300指数增强A基金,在2019年一季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
340,我想知道股票601615在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
341,我想知道股票300066在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
342,深圳市铁汉生态环境股份有限公司所在的生态环境建设行业涉及的两个领域是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据题目描述，需要在深圳市铁汉生态环境股份有限公司的招股说明书中查找答案。",Text
343,山东海看网络科技有限公司的IPTV业务功能包括哪些？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。请提供更多的上下文信息以便更准确地回答您的问题。,Text
344,我想知道2019年的中期报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
345,在2020年12月年报(含半年报)中，宝盈祥裕增强回报混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,回答：“基金股票数据库”,SQL
346,杭州中恒电气股份有限公司计划在项目建设期增加多少固定资产投资？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
347,湖南长远锂科股份有限公司公司的生产成本包括哪些部分？,该问题的描述不清，无法判断答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
348,深圳信立泰药业股份有限公司的英文名称是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
349,在2021年12月年报(含半年报)中，博时鑫荣稳健混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,回答：“基金股票数据库”,SQL
350,华达汽车科技股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
351,2020年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年内最高日收盘价是多少?”,SQL
352,请问股票代码为002158的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
353,云南沃森生物技术股份有限公司创始人的研发资质如何？,该问题的答案可能包含在基金的招募说明书或公司的招股说明书中。由于问题没有给出具体的公司名称，因此无法确定答案所在的位置。,Text
354,读者出版传媒股份有限公司每年与各印刷厂签订的《读者》印刷协议中，2014年度的含税基本印刷单价是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
355,浙江双飞无油轴承股份有限公司的主要原材料是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
356,查询下基金代码167507的基金，它的基金类型是？,该问题需要查询基金股票数据库。,SQL
357,浙江开尔新材料股份有限公司和合肥翰林是否按规定为员工缴纳了社会保险？,回答：“该公司的招股说明书”,Text
358,对湖南国科微电子股份有限公司持续盈利能力可能产生重大不利影响的因素主要包括哪些？,"该问题的描述类别最适合于 ""该公司的招股说明书""。",Text
359,在2019年报中，汇添富中证长三角一体化发展主题ETF联接A基金第八大重仓股的代码和股票名称是什么？,这个问题的答案应该在基金股票数据库中。,SQL
360,在2019年报中，东方红睿华沪港深灵活配置混合(LOF)A基金第六大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
361,请查询：在20210611，属于申万二级一般零售行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,该问题需要查询基金股票数据库中的信息。,SQL
362,请问股票代码为002771的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
363,"帮我算一下在20190114,代码为00080的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
364,"帮我算一下在20201222,代码为02198的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
365,报告期内，南京中电联环保股份有限公司流动比率、速动比率呈什么趋势？公司资产流动性水平如何？所面临的流动性风险水平如何？,该问题属于招股说明书中可能包含的内容。,Text
366,在2021年报中，平安安享灵活配置混合C基金第八大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
367,为什么广东银禧科技股份有限公司核心技术大部分为非专利技术？,该问题属于招股说明书中提到的信息。,Text
368,股票600757在20200915日期中的收盘价是多少?（小数点保留3位）,回答：“基金股票数据库”,SQL
369,请帮我计算，在20190312，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,该问题需要在基金股票数据库中查找答案。,SQL
370,深圳市超频三科技股份有限公司主要采购哪些原材料？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
371,2019年1-6月，浙江双飞无油轴承股份有限公司向前五大供应商采购原材料金额占同期采购总额的比例是多少？,这个问题应该属于基金的股票数据库。,Text
372,我想知道股票600887在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
373,招商基金管理有限公司管理的其他型产品的数量有多少?,回答：“基金股票数据库”,SQL
374,"帮我算一下在20190502,代码为00292的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
375,我想知道股票300555在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
376,读者出版传媒股份有限公司期刊、图书出版业的产业链主要包括哪些环节？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
377,"我想了解红土创新稳健混合C基金,在2020年二季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
378,青海互助青稞酒股份有限公司设置哪些部门？,该问题的类别为“该公司的招股说明书”,Text
379,在2020年2月25日，使用中信行业分类标准，股票代码688012是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
380,我想知道2021年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
381,我想知道国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
382,宁波立立电子股份有限公司募集资金的6－8英寸硅抛光片扩产项目建设工期预计为几年？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法回答这个问题。,Text
383,"请帮我查询在2019年,富荣基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
384,博时基金管理有限公司2019年成立了多少基金?,问题：“博时基金管理有限公司2019年成立了多少基金？”的答案应该在基金股票数据库中可以找到。,SQL
385,常熟风范电力设备股份有限公司主要客户的收款周期和发生坏帐的可能性如何？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。请提供更多的上下文信息以便更准确地回答您的问题。,Text
386,在2021年10月15日，使用中信行业分类标准，股票代码000828是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
387,我想知道华安汇嘉精选混合C在2020年Q4的季报中，该基金的第3大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
388,20210618日，一级行业为基础化工的股票的成交量合计是多少？取整。,回答：“基金股票数据库”,SQL
389,东莞勤上光电股份有限公司建立的LED照明产品系列包括哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有在该公司的招股说明书中才能找到关于这个话题的答案。",Text
390,请查询在2021年度，688728股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
391,请帮我查询出20210506日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,这个问题应该属于基金股票数据库。,SQL
392,"我想了解易方达稳健收益债券C基金,在2021年二季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
393,我想知道兴全安泰平衡养老目标三年持有期混合(FOF)A基金在20190331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
394,我想知道东方红品质优选两年定期开放混合基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
395,我想知道在2021年，摩根基金管理(中国)有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
396,请查询在2021年度，600373股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
397,我想知道在2020年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
398,在采购端，上海真兰仪表科技股份有限公司与中国科学院控股有限公司下属成都中科唯实仪器有限责任公司设立的公司是什么？公司持股多大比例？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
399,报告期内，宁波立立电子股份有限公司硅抛光片产品2005年毛利率稍低的主要原因是什么？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法回答这个问题。,Text
400,宁波立立电子股份有限公司企业所得税的法定税率是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
401,报告期内，湖南国科微电子股份有限公司的主营业务收入主要来源于什么产品？,"该问题的分类应该是""该公司的招股说明书""。",Text
402,我想知道股票601086在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
403,请帮我查询下，在2019年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,基金股票数据库,SQL
404,2008年度、2009年度深圳市铁汉生态环境股份有限公司园林绿化工程收入的增长率分别为多少？,该问题的描述中没有给出任何关于该基金或股票的信息，因此无法确定它是在该公司的招股说明书中还是在基金股票数据库里。,Text
405,请帮我计算，在20190114，中信行业分类划分的一级行业为建材行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
406,请问在机械设备行业，20190508行业的A股公司有多少?,该问题需要在基金股票数据库中查找答案。,SQL
407,我想知道国寿安保基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
408,20200722日，一级行业为化工的股票的成交金额合计是多少？取整。,回答：“基金股票数据库”,SQL
409,博时基金管理有限公司管理的债券型产品的数量有多少?,问题：“博时基金管理有限公司管理的债券型产品的数量有多少?” 应该在基金股票数据库中查找。,SQL
410,请列出工银瑞信基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数。,回答：“基金股票数据库”,SQL
411,20211229日，请给出工银瑞信消费行业股票A基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
412,20190318日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
413,"请查询：2021年12月年报(含半年报),持有21昆山农商二级且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
414,"请帮我查询下，在20211117，申万行业分类里一级行业为商业贸易行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
415,嘉实基金管理有限公司管理的混合型产品的数量有多少?,回答：“基金股票数据库”,SQL
416,烟台杰瑞石油服务集团股份有限公司所属行业在产品销售和服务的地点上体现出怎样的区域性特征？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。请提供更多的信息或者更清晰的问题描述。,Text
417,招商基金管理有限公司2019年成立了多少基金?,问题：“招商基金管理有限公司2019年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
418,江苏旷达汽车织物集团股份有限公司的营业收入主要包括哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
419,海富通稳健养老目标一年持有期混合(FOF)A基金在20210331的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
420,请列出汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数。,答案：基金股票数据库,SQL
421,华达汽车科技股份有限公司的实际控制人是谁？截至本招股意向书签署日，公司实际控制人控制本公司多大比例的股份。,"该问题的分类结果应为""该公司的招股说明书""。",Text
422,在2020年6月7日，使用中信行业分类标准，股票代码002162是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
423,常熟风范电力设备股份有限公司在国际市场上的主要合作伙伴有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，常熟风范电力设备股份有限公司在国际市场上的主要竞争对手或合作伙伴的信息应该包含在该公司的招股说明书中。",Text
424,读者出版传媒股份有限公司本次发行前各股东间的关联关系情况如何？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法将其分类为上述两类之一。,Text
425,中国铁路通信信号股份有限公司本次上市选择的标准为预计市值不低于人民币多少？最近一年营业收入不低于人民币多少？,问题：“该公司的招股说明书”,Text
426,"在20211231的年报(含半年报)中，泰康长江经济带债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
427,在2020年报中，方正富邦沪深300ETF基金第一大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
428,股票002648在20210803日期中的收盘价是多少?（小数点保留3位）,问题：“股票002648在20210803日期中的收盘价是多少?（小数点保留3位）”属于基金股票数据库。,SQL
429,南方基金管理股份有限公司2020年成立了多少基金?,问题：“南方基金管理股份有限公司2020年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
430,烟台杰瑞石油服务集团股份有限公司的战略规划是什么？,该问题的答案可能包含在烟台杰瑞石油服务集团股份有限公司的招股说明书中。,Text
431,"在20211231的年报(含半年报)中，广发资管乾利一年持有期债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
432,请列出华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数。,回答：“基金股票数据库”,SQL
433,我想知道股票000060在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
434,请帮我查询下，在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,回答：“基金股票数据库”,SQL
435,20201116日，一级行业为电气设备的股票的成交金额合计是多少？取整。,回答：“基金股票数据库”,SQL
436,根据森赫电梯股份有限公司招股意见书，目前国内电梯市场中，外资品牌和国内电梯品牌各占多少份额？,该问题的描述中并没有明确指出是在招股说明书中还是在基金股票数据库中寻找答案，因此我无法回答这个问题。,Text
437,根据《CRCC产品认证实施规则》，《铁路产品认证证书》有效期为多久？北京天宜上佳高新材料股份有限公司取得 《铁路产品认证证书》后，至少多久需要接受一次监督？,该问题属于招股说明书中提到的内容。,Text
438,2019年1-6月浙江双飞无油轴承股份有限公司经营业绩出现下滑的原因是什么？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法回答这个问题。,Text
439,"我想了解一下金鹰基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
440,2019年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少?”,SQL
441,请问在基础化工行业，20201215行业的A股公司有多少?,该问题需要在基金股票数据库中查找答案。,SQL
