问题,SQL,SQL结果,答案
凯石岐短债债券A基金在20200630且报告类型是季报的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '凯石岐短债债券A'
AND 持仓日期 = '20200630'
AND 报告类型 = '季报'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '中期票据'}],凯石岐短债债券A基金在20200630且报告类型是季报的持债市值中，中期票据类债券市值最高。
20200207日，哔哩哔哩-W在多少只基金的前三大重仓股中？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20200207'
AND 股票名称 = '哔哩哔哩-W'
AND 第N大重仓股 <= 3
LIMIT 1;",[{'数量': 0}],20200207日，哔哩哔哩-W在0只基金的前三大重仓股中。
请帮我查询在截止2020-06-30的基金定期报告中，基金总申购份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总申购份额 = 0
LIMIT 1;",[{'数量': 488}],在截止2020-06-30的基金定期报告中，基金总申购份额为零的基金有488个。
我想知道股票300552在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '300552'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '计算机应用'}],股票300552在申万行业分类下的二级行业是计算机应用。
我想知道财通资管消费精选灵活配置混合C在2021年Q1的季报中，该基金的第10大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '财通资管消费精选灵活配置混合C'
AND 持仓日期 = '20210331'
AND 报告类型 = '季报'
AND 第N大重仓股 = 10
LIMIT 1;",[{'股票代码': '300408'}],财通资管消费精选灵活配置混合C在2021年Q1的季报中，该基金的第10大重仓股的代码是300408。
请帮我查询出20191103日，机械设备一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20191103'
AND t2.一级行业名称 = '机械设备'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",[{'数量': 0}],20191103日，机械设备一级行业涨幅超过5%（不包含）的股票数量是0只。
我想知道在2020年，华宝基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '华宝基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 > 报告期期末基金总份额
LIMIT 1;",[{'数量': 30}],在2020年，华宝基金管理有限公司已发行的基金中，有30只基金报告期期初基金总份额大于报告期期末基金总份额。
请帮我查询下，在2021年Q4季报报告中，009359基金的第十大重仓可转债同期还有多少只基金也进行了持仓？,"WITH t1 AS (
    SELECT *
    FROM 基金可转债持仓明细
    WHERE 持仓日期 = '20211231'
    AND 报告类型 = '季报'
)
SELECT COUNT(基金代码) AS 数量
FROM t1
WHERE 对应股票代码 = (
    SELECT 对应股票代码
    FROM t1
    WHERE 基金代码 = '009359'
    AND 第N大重仓股 = 10
    LIMIT 1
)
AND 基金代码 != '009359'
LIMIT 1;",[{'数量': 0}],在2021年Q4季报报告中，009359基金的第十大重仓可转债同期还有0只基金也进行了持仓。
请查询在2020年度，603706股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '603706'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 1}],在2020年度，603706股票涨停天数是1天。
请帮我查询下，在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT 基金简称, ROUND(报告期基金总申购份额 - 报告期基金总赎回份额, 2) AS 差额
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-09%'
ORDER BY 差额 DESC
LIMIT 1;","[{'基金简称': '建信现金增利货币B', '差额': 19400369672.31}]",在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是建信现金增利货币B，差额是19400369672.31份。
"请帮我查询下，在20211222，中信行业分类里一级行业为电力设备及新能源行业的所有股票里, 成交量(股)最多的股票的代码是什么？成交量是多少？","SELECT t1.股票代码, t1.[成交量(股)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20211222'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '电力设备及新能源'
ORDER BY t1.[成交量(股)] DESC
LIMIT 1;","[{'股票代码': '601700', '成交量(股)': 240514853.0}]","在20211222，中信行业分类里一级行业为电力设备及新能源行业的所有股票里, 成交量(股)最多的股票的代码是601700，成交量是240514853.0股。"
请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-12-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1696, '净申购份额': 456868200841.76}]",2021年四季度有1696家基金是净申购，它们的净申购份额加起来是456868200841.76份。
在20200614，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20200614'
AND 行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'一级行业名称': '机械设备'}],在20200614，按照申万行业分类的行业划分标准，机械设备一级行业的A股公司数量最多。
20200103日，请给出兴银长盈三个月定期开放债券A基金的管理人和累计单位净值。,"SELECT t1.管理人, t2.累计单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '兴银长盈三个月定期开放债券A'
AND t2.交易日期 = '20200103'
LIMIT 1;","[{'管理人': '兴银基金管理有限责任公司', '累计单位净值': 1.1364}]",20200103日，兴银长盈三个月定期开放债券A基金的管理人是兴银基金管理有限责任公司，累计单位净值是1.1364元。
请问2020年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 798, '净申购份额': 325062572784.25}]",2020年一季度有798家基金是净申购，它们的净申购份额加起来是325062572784.25份。
我想知道2019年的年度报告中，机构投资者持有的份额占比超过77%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(机构投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2019
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 > 77
LIMIT 1;","[{'数量': 470, '持有份额': 839983910163.23}]",2019年的年度报告中，机构投资者持有的份额占比超过77%的基金有470只，并且他们总共持有了839983910163.23份。
请问股票代码为300654的股票在2020年内日成交量高于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '300654'
    AND 交易日 LIKE '2020%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] > (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 69}],股票代码为300654的股票在2020年内日成交量高于该股票当年平均日成交量的有69个交易日。
针对2020年的年度报告，有多少家基金的个人投资者持有份额占比不足48%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2020
AND 报告类型 = '年度报告'
AND 个人投资者持有的基金份额占总份额比例 < 48
LIMIT 1;",[{'数量': 1426}],针对2020年的年度报告，有1426家基金的个人投资者持有份额占比不足48%。
请帮我查询下，在2020年06月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT 基金简称, ROUND(报告期基金总申购份额 - 报告期基金总赎回份额, 2) AS 差额
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06%'
ORDER BY 差额 DESC
LIMIT 1;","[{'基金简称': '长城泰利纯债债券A', '差额': 13858426064.34}]",在2020年06月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是长城泰利纯债债券A，差额是13858426064.34份。
请列出太平洋证券股份有限公司在2020年成立并且托管人为兴业银行股份有限公司的所有基金的基金管理费率的平均数。,"SELECT AVG(管理费率) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '太平洋证券股份有限公司'
AND 托管人 = '兴业银行股份有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",[{'平均管理费率': 0.5}],太平洋证券股份有限公司在2020年成立并且托管人为兴业银行股份有限公司的所有基金的基金管理费率的平均数是0.5%。
请帮我查询下，在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT 基金简称, ROUND(报告期基金总申购份额 - 报告期基金总赎回份额, 2) AS 差额
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-09%'
ORDER BY 差额 DESC
LIMIT 1;","[{'基金简称': '建信现金增利货币B', '差额': 19400369672.31}]",在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是建信现金增利货币B，差额是19400369672.31份。
请问股票代码为603192的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '603192'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 184}],股票代码为603192的股票在2021年内日成交量低于该股票当年平均日成交量的有184个交易日。
股票000428在20200813日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '000428'
AND 交易日 = '20200813'
LIMIT 1;",[{'收盘价': 3.68}],股票000428在20200813日期中的收盘价是3.680元。
请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-12-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1696, '净申购份额': 456868200841.76}]",2021年四季度有1696家基金是净申购，它们的净申购份额加起来是456868200841.76份。
"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2020年，中信行业分类行业划分标准,食品饮料一级行业中，股票日均波动值最小的股票对应的股票代码是？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2020%'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '食品饮料'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[最高价(元)] - t1.[最低价(元)]) ASC
LIMIT 1;",[{'股票代码': '605179'}],"在2020年，中信行业分类行业划分标准,食品饮料一级行业中，股票日均波动值最小的股票对应的股票代码是605179。"
在2019年的中期报告里，凯石基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '凯石基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 100.0}],在2019年的中期报告里，凯石基金管理有限公司管理的基金中，有100.00%的基金是个人投资者持有的份额超过机构投资者。
我想知道2021年的年度报告中，个人投资者持有的份额占比超过14%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(个人投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 个人投资者持有的基金份额占总份额比例 > 14
LIMIT 1;","[{'数量': 3104, '持有份额': 1591743925294.61}]",2021年的年度报告中，个人投资者持有的份额占比超过14%的基金有3104只，并且他们总共持有了1591743925294.61份。
我想知道招商信用增强债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '招商信用增强债券C'
AND t1.持仓日期 = '20200331'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '机械'}],招商信用增强债券C基金在20200331的季报中，其可转债持仓占比最大的是中信一级行业划分标准下的机械行业。
"请查询：2021年6月其他,持有20山东金融SCP001且是前2大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210630'
AND 报告类型 = '其他'
AND 债券名称 = '20山东金融SCP001'
AND 第N大重仓股 <= 2
LIMIT 1;",[{'数量': 0}],"2021年6月其他,持有20山东金融SCP001且是前2大重仓股的基金有0个。"
"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,轻工制造一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '轻工制造'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '002969'}],"在2019年，申万行业分类行业划分标准,轻工制造一级行业中, 代码为002969的股票的日均收益率最高。"
"在20211231的年报(含半年报)中，中信保诚景丰债券C基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '中信保诚景丰债券C'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '公司债券'}],"在20211231的年报(含半年报)中，中信保诚景丰债券C基金的债券持仓,其持有最大仓位的债券类型是公司债券。"
20200403日，成交量最大的前二家上市公司的股票代码是什么？按成交量从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20200403'
ORDER BY [成交量(股)] DESC
LIMIT 2;","[{'股票代码': '000725'}, {'股票代码': '000100'}]",20200403日，成交量最大的前二家上市公司的股票代码按成交量从大到小依次是000725、000100。
请帮我查询在截止2019-12-31的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-12-31%'
AND 报告期期末基金总份额 < 报告期期初基金总份额
LIMIT 1;",[{'数量': 853}],在截止2019-12-31的报告期间，基金总份额降低的基金数量是853只。
"我想了解广发科技创新混合A基金,在2020年二季度的季报第4大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '广发科技创新混合A'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 4
        LIMIT 1
    )
    AND 交易日 BETWEEN '20200401' AND '20200630'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': 13.67}],"广发科技创新混合A基金,在2020年二季度的季报第4大重股当个季度的涨跌幅是13.67%。"
针对2019年的年度报告，有多少家基金的机构投资者持有份额占比不足30%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2019
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 < 30
LIMIT 1;",[{'数量': 902}],针对2019年的年度报告，有902家基金的机构投资者持有份额占比不足30%。
上海国泰君安证券资产管理有限公司2021年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '上海国泰君安证券资产管理有限公司'
AND 成立日期 LIKE '2021%'
LIMIT 1;",[{'数量': 0}],上海国泰君安证券资产管理有限公司2021年成立了0只基金。
中加基金管理有限公司管理的股票型产品的数量有多少?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '中加基金管理有限公司'
AND 基金类型 = '股票型'
LIMIT 1;",[{'数量': 2}],中加基金管理有限公司管理的股票型产品的数量有2只。
针对2021年的年度报告，有多少家基金的个人投资者持有份额占比不足64%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 个人投资者持有的基金份额占总份额比例 < 64
LIMIT 1;",[{'数量': 1853}],针对2021年的年度报告，有1853家基金的个人投资者持有份额占比不足64%。
"请帮我查询在2019年,中信保诚基金管理有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2019%'
AND 管理人 = '中信保诚基金管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"在2019年,中信保诚基金管理有限公司成立混合型的基金个数最多。"
20191031日，互太纺织在多少只基金的前一大重仓股中？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191031'
AND 股票名称 = '互太纺织'
AND 第N大重仓股 <= 1
LIMIT 1;",[{'数量': 0}],20191031日，互太纺织在0只基金的前一大重仓股中。
查询下基金代码009599的基金，它的管理费率是？,"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '009599'
LIMIT 1;",[{'管理费率': '0.3%'}],基金代码009599的基金，它的管理费率是0.3%。
请查询在2019年度，002952股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '002952'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 15}],在2019年度，002952股票涨停天数是15天。
汇添富90天滚动持有短债债券C基金在20200630的季报里，前四大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '汇添富90天滚动持有短债债券C'
AND 持仓日期 = '20200630'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 4;","[{'债券名称': '17腾越建筑MTN001'}, {'债券名称': '16平安租赁MTN002'}, {'债券名称': '18天士力医MTN001'}, {'债券名称': '20复星医药SCP002'}]",汇添富90天滚动持有短债债券C基金在20200630的季报里，前四大持仓占比的债券名称是17腾越建筑MTN001、16平安租赁MTN002、18天士力医MTN001、20复星医药SCP002。
请问在化工行业，20200815行业的A股公司有多少?,"SELECT COUNT(DISTINCT(股票代码)) AS 数量
FROM A股公司行业划分表
WHERE 一级行业名称 = '化工'
AND 交易日期 = '20200815'
LIMIT 1;",[{'数量': 460}],在化工行业，20200815行业的A股公司有460间。
请帮我查询在截止2019-03-31的基金定期报告中，期初基金总份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-03-31%'
AND 报告类型 = '基金定期报告'
AND 报告期期初基金总份额 = 0
LIMIT 1;",[{'数量': 33}],在截止2019-03-31的基金定期报告中，期初基金总份额为零的基金有33个。
请帮我查询出20190913日，商业贸易一级行业涨幅超过4%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190913'
AND t2.一级行业名称 = '商业贸易'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 4
LIMIT 1;",[{'数量': 0}],20190913日，商业贸易一级行业涨幅超过4%（不包含）的股票数量是0只。
请帮我查询下股票代码为300687的股票在2020年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '300687'
AND 交易日 LIKE '2020%'
LIMIT 1;",[{'最高日收盘价': 29.09}],股票代码为300687的股票在2020年内最高日收盘价是29.09。
"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2019年，中信行业分类行业划分标准,传媒一级行业中，股票日均波动值最小的股票对应的股票代码是？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '传媒'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[最高价(元)] - t1.[最低价(元)]) ASC
LIMIT 1;",[{'股票代码': '002445'}],"在2019年，中信行业分类行业划分标准,传媒一级行业中，股票日均波动值最小的股票对应的股票代码是002445。"
请帮我查询下，在2020年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT 基金简称, ROUND(报告期基金总申购份额 - 报告期基金总赎回份额, 2) AS 差额
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-03%'
ORDER BY 差额 DESC
LIMIT 1;","[{'基金简称': '华夏中证5G通信主题ETF', '差额': 23288000000.0}]",在2020年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是华夏中证5G通信主题ETF，差额是23288000000.00份。
请帮我计算：在20190814，日收益率为正的A股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM A股票日行情表
WHERE 交易日 = '20190814'
AND [收盘价(元)] > [昨收盘(元)]
LIMIT 1;",[{'数量': 2381}],在20190814，日收益率为正的A股股票有2381个。
我想知道在20210630的季报里，华夏稳健养老目标一年持有期混合(FOF)A投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20210630'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '华夏稳健养老目标一年持有期混合(FOF)A';","[{'一级行业名称': '电气设备'}, {'一级行业名称': '化工'}, {'一级行业名称': '非银金融'}, {'一级行业名称': '采掘'}, {'一级行业名称': '电子'}]",在20210630的季报里，华夏稳健养老目标一年持有期混合(FOF)A投资的股票分别是电气设备、化工、非银金融、采掘、电子申万一级行业。
我想知道宝盈祥泽混合A基金，在2021年年度报告中，前2大重仓股中，有多少只股票在报告期内取得负收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '宝盈祥泽混合A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 2
    )
    AND 交易日 BETWEEN '20210101' AND '20211231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 < t2.期初价
LIMIT 1;",[{'数量': 2}],宝盈祥泽混合A基金，在2021年年度报告中，前2大重仓股中，有2只股票在报告期内取得负收益。
股票603958在20210305日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '603958'
AND 交易日 = '20210305'
LIMIT 1;",[{'收盘价': 6.19}],股票603958在20210305日期中的收盘价是6.190元。
请帮我查询下在2019年长城基金管理有限公司成立的基金中，有多少只基金持仓过小微企业扶持债券？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '长城基金管理有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '小微企业扶持债券'
LIMIT 1;",[{'数量': 0}],在2019年长城基金管理有限公司成立的基金中，有0只基金持仓过小微企业扶持债券。
"请帮我查询下，在20200813，中信行业分类里一级行业为建筑行业的所有股票里, 成交量(股)最多的股票的代码是什么？成交量是多少？","SELECT t1.股票代码, t1.[成交量(股)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200813'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '建筑'
ORDER BY t1.[成交量(股)] DESC
LIMIT 1;","[{'股票代码': '601611', '成交量(股)': 202500004.0}]","在20200813，中信行业分类里一级行业为建筑行业的所有股票里, 成交量(股)最多的股票的代码是601611，成交量是202500004.0股。"
我想知道股票002023在中信行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '002023'
AND 行业划分标准 = '中信行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '运输设备'}],股票002023在中信行业分类下的二级行业是运输设备。
